      nr,code   ,name                      
     759,0100080,Stockholm                 
      12,0201010,Lovö                      
      21,0201020,Ekerö                     
      10,0201030,Munsö                     
       8,0201040,Adelsö                    
       9,0201050,Färentuna                 
       6,0201060,Hilleshög                 
      17,0201070,Sånga                     
       2,0201100,Skå                       
       9,0202010,Spånga                    
      10,0202014,Hässelby                  
       2,0202018,Flysta                    
      23,0202020,Järfälla                  
       7,0202040,Ed Stockholm              
      19,0202190,Sollentuna kg             
       7,0203010,Lagga                     
       3,0203020,Östuna                    
       8,0203030,Husby-Långhundra          
       6,0203040,Närtuna                   
       7,0203050,Gottröra                  
      12,0203060,Kårsta                    
       8,0204010,Alsike                    
      15,0204020,Knivsta                   
      10,0204030,Odensala                  
      16,0204040,Husby-Ärlinghundra        
       5,0204050,Norrsunda                 
       4,0204060,Vassunda                  
       8,0204070,Haga                      
      21,0205010,Skepptuna                 
       8,0205020,Lunda Stockholm           
       8,0205030,Vidbo                     
       6,0205040,Skånela                   
       6,0205050,Markim                    
       1,0205060,Orkesta                   
       4,0205070,Frösunda                  
       3,0206010,Fresta                    
      10,0206020,Hammarby Stockholm        
       8,0206030,Vallentuna                
       3,0206050,Angarn                    
      10,0206060,Össeby-Garn               
      19,0207010,Börstil                   
      10,0207020,Gräsö                     
      14,0207030,Harg                      
      11,0207040,Edebo                     
      14,0207050,Hökhuvud                  
      16,0207060,Valö                      
      17,0207070,Forsmark                  
      22,0208010,Almunge                   
      16,0208020,Knutby                    
      10,0208030,Faringe                   
       5,0208040,Bladåker                  
      16,0208050,Ununge                    
      15,0208060,Edsbro                    
      23,0209010,Väddö                     
      43,0209020,Häverö                    
       4,0209030,Singö                     
      18,0210010,Söderby-Karl              
       9,0210020,Estuna                    
       7,0210030,Lohärad                   
       4,0210040,Malsta                    
       3,0210050,Husby-Lyhundra            
      10,0211010,Skederid                  
      25,0211020,Rimbo                     
       7,0211030,Rö                        
      13,0211040,Fasterna                  
       8,0212010,Roslags-Bro               
      15,0212020,Vätö                      
       4,0212030,Björkö-Arholma            
      15,0213010,Frötuna                   
       3,0213020,Rådmansö                  
      21,0213030,Länna Sthlm               
       9,0213040,Blidö                     
       6,0214010,Östra Ryd Sthlm           
       2,0214190,Stocksund                 
       8,0214390,Danderyds Kg              
      18,0214490,Täby Kg                   
      18,0215010,Österåker Sthlm           
       5,0215020,Riala                     
       8,0215030,Roslags-Kulla             
      16,0215040,Ljusterö                  
      33,0216010,Värmdö                    
      10,0216020,Djurö                     
       3,0216030,Möja                      
       8,0216040,Gustavsberg               
       5,0216050,Ingarö                    
       9,0216060,Bo Sthlm                  
      18,0217010,Österhaninge              
       3,0217020,Ornö                      
       2,0217030,Nämdö                     
       2,0217040,Utö                       
       6,0217050,Tyresö                    
      10,0217060,Dalarö                    
      22,0217070,Västerhaninge             
      10,0217100,Muskö                     
      11,0217110,Ösmo                      
      15,0217120,Sorunda                   
       9,0217130,Torö                      
       6,0218010,Grödinge                  
      22,0218020,Botkyrka                  
      23,0218025,Tumba                     
       7,0218030,Salem                     
      10,0218035,Rönninge                  
      14,0218040,Huddinge                  
       4,0218043,Segeltorp                 
       1,0218044,Stuvsta                   
       8,0218050,Brännkyrka                
       4,0218056,Liljeholmen               
      16,0218090,Saltsjöbaden              
       7,0219010,Östertälje                
       6,0219020,Västertälje               
       9,0219030,Tveta                     
       5,0219040,Överjärna                 
      11,0219045,Järna                     
       1,0219050,Ytterjärna                
      11,0219060,Vårdinge                  
      20,0219070,Turinge                   
      79,0220080,Södertälje                
      22,0221080,Vaxholm                   
      56,0222080,Norrtälje                 
      24,0223080,Östhammar                 
      10,0224080,Öregrund                  
      25,0225080,Sigtuna                   
       9,0226080,Djursholm                 
      28,0227080,Lidingö                   
      18,0228080,Nacka                     
      39,0229080,Nynäshamn                 
      33,0230080,Solna                     
      35,0231080,Sundbyberg                
       3,0301010,Kalmar                    
       2,0301020,Övergran                  
       4,0301030,Yttergran                 
       4,0301040,Häggeby                   
       6,0301050,Skokloster                
       8,0301060,Håtuna                    
       1,0301070,Håbo-Tibble               
       5,0302010,Bro och Lossa             
       8,0302011,Bro                       
       3,0302012,Lossa                     
       4,0302020,Västra Ryd                
       4,0302030,Stockholms-Näs            
       5,0303010,Hacksta                   
       5,0303020,Löt                       
       7,0303030,Veckholm                  
       3,0303050,Kungs-Husby               
       1,0303060,Härkeberga                
       7,0303070,Litslena                  
       6,0303100,Husby-Sjutolft            
       2,0303110,Villberga                 
       9,0303115,Grillby                   
       2,0303120,Lillkyrka                 
       2,0303140,Vallby                    
       8,0304010,Tillinge                  
       3,0304020,Svinnegarn                
       3,0304030,Enköpings-Näs             
       1,0304040,Teda                      
       6,0304050,Sparrsätra                
       5,0304060,Bred                      
       4,0304070,Vårfrukyrka               
       3,0305010,Långtora                  
       7,0305020,Nysätra                   
       4,0305030,Biskopskulla              
      10,0305040,Fröslunda                 
       3,0305050,Giresta                   
       2,0305060,Fittja                    
       4,0305070,Hjälsta                   
       2,0305100,Holm                      
       4,0305110,Kulla                     
       4,0306010,Gryta                     
       7,0306020,Balingsta                 
